country,cou_relationship_com ,company,com_relationship_tra,tracker,t_relationship_cat,category
USA,besitzt,google,unterteilt sich in,gstatic,trackt mittels,cdn
USA,besitzt,google,unterteilt sich in,google_tag_manager,trackt mittels,essential
USA,besitzt,google,unterteilt sich in,google_analytics,trackt mittels,site_analytics
USA,besitzt,google,unterteilt sich in,google_fonts,trackt mittels,cdn
USA,besitzt,google,unterteilt sich in,google,trackt mittels,advertising
USA,besitzt,google,unterteilt sich in,doubleclick,trackt mittels,advertising
USA,besitzt,facebook,unterteilt sich in,facebook,trackt mittels,advertising
USA,besitzt,google,unterteilt sich in,googleapis.com,trackt mittels,cdn
USA,besitzt,google,unterteilt sich in,youtube,trackt mittels,audio_video_player
USA,besitzt,google,unterteilt sich in,google_users,trackt mittels,cdn
USA,besitzt,amazon_associates,unterteilt sich in,amazon_cloudfront,trackt mittels,hosting
USA,besitzt,amazon_associates,unterteilt sich in,amazon_adsystem,trackt mittels,advertising
USA,besitzt,google,unterteilt sich in,google_photos,trackt mittels,cdn
USA,besitzt,cloudflare,unterteilt sich in,cloudflare,trackt mittels,cdn
USA,besitzt,google,unterteilt sich in,google_syndication,trackt mittels,advertising
USA,besitzt,comscore,unterteilt sich in,scorecard_research_beacon,trackt mittels,site_analytics
USA,besitzt,twitter,unterteilt sich in,twitter,trackt mittels,social_media
USA,besitzt,amazon_associates,unterteilt sich in,amazon_web_services,trackt mittels,hosting
USA,besitzt,new_relic,unterteilt sich in,new_relic,trackt mittels,site_analytics
USA,besitzt,amazon_associates,unterteilt sich in,amazon_cdn,trackt mittels,cdn
FRA,besitzt,criteo,unterteilt sich in,criteo,trackt mittels,advertising
USA,besitzt,adobe,unterteilt sich in,adobe_audience_manager,trackt mittels,advertising
USA,besitzt,facebook,unterteilt sich in,facebook_cdn,trackt mittels,cdn
USA,besitzt,twitter,unterteilt sich in,twitter_syndication,trackt mittels,social_media
RUS,besitzt,yandex,unterteilt sich in,yandex_metrika,trackt mittels,site_analytics
USA,besitzt,onetrust,unterteilt sich in,optanaon,trackt mittels,essential
USA,besitzt,appnexus,unterteilt sich in,appnexus,trackt mittels,advertising
USA,besitzt,google,unterteilt sich in,google_adservices,trackt mittels,advertising
USA,besitzt,microsoft,unterteilt sich in,bing_ads,trackt mittels,advertising
USA,besitzt,akamai,unterteilt sich in,akamai_technologies,trackt mittels,cdn
USA,besitzt,bootstrap_cdn,unterteilt sich in,bootstrap,trackt mittels,cdn
USA,besitzt,microsoft,unterteilt sich in,microsoft,trackt mittels,misc
RUS,besitzt,AO Kaspersky Lab,unterteilt sich in,kaspersky-labs.com,trackt mittels,extensions
USA,besitzt,taboola,unterteilt sich in,taboola,trackt mittels,advertising
RUS,besitzt,yandex,unterteilt sich in,yandex,trackt mittels,advertising
USA,besitzt,quantcast,unterteilt sich in,quantcast,trackt mittels,advertising
USA,besitzt,chartbeat,unterteilt sich in,chartbeat,trackt mittels,site_analytics
CAN,besitzt,index_exchange,unterteilt sich in,index_exchange,trackt mittels,advertising
USA,besitzt,tealium,unterteilt sich in,tealium,trackt mittels,essential
ISR,besitzt,outbrain,unterteilt sich in,outbrain,trackt mittels,advertising
USA,besitzt,akamai,unterteilt sich in,soasta_mpulse,trackt mittels,site_analytics
USA,besitzt,adobe,unterteilt sich in,adobe_dynamic_tag_management,trackt mittels,essential
USA,besitzt,verizon,unterteilt sich in,yahoo,trackt mittels,site_analytics
USA,besitzt,reddit,unterteilt sich in,reddit,trackt mittels,social_media
USA,besitzt,oracle,unterteilt sich in,addthis,trackt mittels,advertising
USA,besitzt,pubmatic,unterteilt sich in,pubmatic,trackt mittels,advertising
USA,besitzt,pinterest,unterteilt sich in,pinterest,trackt mittels,social_media
USA,besitzt,automattic,unterteilt sich in,gravatar,trackt mittels,social_media
USA,besitzt,onetrust,unterteilt sich in,onetrust,trackt mittels,essential
USA,besitzt,adobe,unterteilt sich in,adobe_experience_cloud,trackt mittels,site_analytics
FRA,besitzt,didomi,unterteilt sich in,didomi,trackt mittels,essential
USA,besitzt,automattic,unterteilt sich in,wordpress_stats,trackt mittels,site_analytics
USA,besitzt,adobe,unterteilt sich in,adobe_typekit,trackt mittels,essential
USA,besitzt,optimizely,unterteilt sich in,optimizely,trackt mittels,site_analytics
USA,besitzt,fastly,unterteilt sich in,fastlylb.net,trackt mittels,cdn
USA,besitzt,automattic,unterteilt sich in,jetpack,trackt mittels,site_analytics
USA,besitzt,twitter,unterteilt sich in,twitter_ads,trackt mittels,advertising
USA,besitzt,ebay,unterteilt sich in,paypal,trackt mittels,customer_interaction
USA,besitzt,salesforce,unterteilt sich in,krux_digital,trackt mittels,advertising
USA,besitzt,amazon_associates,unterteilt sich in,alexa_metrics,trackt mittels,site_analytics
USA,besitzt,verizon,unterteilt sich in,advertising.com,trackt mittels,advertising
DNK,besitzt,adform,unterteilt sich in,adform,trackt mittels,advertising
USA,besitzt,oracle,unterteilt sich in,moat,trackt mittels,advertising
USA,besitzt,triplelift,unterteilt sich in,triplelift,trackt mittels,advertising
USA,besitzt,acxiom,unterteilt sich in,liveramp,trackt mittels,advertising
USA,besitzt,google,unterteilt sich in,google_translate,trackt mittels,customer_interaction
USA,besitzt,oracle,unterteilt sich in,bluekai,trackt mittels,advertising
USA,besitzt,facebook,unterteilt sich in,instagram_com,trackt mittels,misc
USA,besitzt,imgur,unterteilt sich in,imgur,trackt mittels,misc
USA,besitzt,segment,unterteilt sich in,segment,trackt mittels,site_analytics
